,Date, Close/Last, Volume, Open, High, Low,predicted,actual,difference
657,04/12/2018,2663.99, --,2653.83,2674.72,2653.83,,,
658,04/11/2018,2642.19, --,2643.89,2661.43,2639.25,,,
659,04/10/2018,2656.87, --,2638.41,2665.45,2635.78,,,
660,04/09/2018,2613.16, --,2617.18,2653.55,2610.79,,,
661,04/06/2018,2604.47, --,2645.82,2656.88,2586.27,,,
662,04/05/2018,2662.84, --,2657.36,2672.08,2649.58,,,
663,04/04/2018,2644.69, --,2584.04,2649.86,2573.61,,,
664,04/03/2018,2614.45, --,2592.17,2619.14,2575.49,,,
665,04/02/2018,2581.88, --,2633.45,2638.3,2553.8,,,
666,03/29/2018,2640.87, --,2614.41,2659.07,2609.72,,,
667,03/28/2018,2605.0, --,2611.3,2632.65,2593.06,,,
668,03/27/2018,2612.62, --,2667.57,2674.78,2596.12,,,
669,03/26/2018,2658.55, --,2619.35,2661.36,2601.81,,,
670,03/23/2018,2588.26, --,2646.71,2657.67,2585.89,,,
671,03/22/2018,2643.69, --,2691.36,2695.68,2641.59,,,
672,03/21/2018,2711.93, --,2714.99,2739.14,2709.79,,,
673,03/20/2018,2716.94, --,2715.05,2724.22,2710.05,,,
674,03/19/2018,2712.92, --,2741.38,2741.38,2694.59,,,
675,03/16/2018,2752.01, --,2750.57,2761.85,2749.97,,,
676,03/15/2018,2747.33, --,2754.27,2763.03,2741.47,,,
677,03/14/2018,2749.48, --,2774.06,2777.11,2744.38,,,
678,03/13/2018,2765.31, --,2792.31,2801.9,2758.68,,,
679,03/12/2018,2783.02, --,2790.54,2796.98,2779.26,,,
680,03/09/2018,2786.57, --,2752.91,2786.57,2751.54,,,
681,03/08/2018,2738.97, --,2732.75,2740.45,2722.65,,,
682,03/07/2018,2726.8, --,2710.18,2730.6,2701.74,,,
683,03/06/2018,2728.12, --,2730.18,2732.08,2711.26,,,
684,03/05/2018,2720.94, --,2681.06,2728.09,2675.75,,,
685,03/02/2018,2691.25, --,2658.89,2696.25,2647.32,,,
686,03/01/2018,2677.67, --,2715.22,2730.89,2659.65,,,
687,02/28/2018,2713.83, --,2753.78,2761.52,2713.54,,,
688,02/27/2018,2744.28, --,2780.45,2789.15,2744.22,,,
689,02/26/2018,2779.6, --,2757.37,2780.64,2753.78,,,
690,02/23/2018,2747.3, --,2715.8,2747.76,2713.74,,,
691,02/22/2018,2703.96, --,2710.42,2731.26,2697.77,,,
692,02/21/2018,2701.33, --,2720.53,2747.75,2701.29,,,
